frame,x,y,H,S,V,B,G,R
211,801,596,0,213,147,25,24,147
327,1303,462,0,203,161,33,33,161
329,1264,452,0,205,157,31,31,157
331,1220,438,0,207,155,29,29,155
333,1186,429,0,207,155,29,29,155
335,1182,429,0,207,158,30,30,158
337,1163,424,0,211,149,26,27,149
339,1132,417,0,213,153,25,27,153
341,1123,415,0,210,153,27,27,153
343,1107,412,0,209,150,28,27,150
345,1082,412,0,207,150,29,28,150
347,1066,409,0,205,153,31,30,153
349,1036,402,0,211,149,27,26,149
351,995,390,0,214,156,26,25,156
353,983,384,0,216,156,25,24,156
355,981,364,0,216,151,23,23,151
357,978,351,0,211,155,27,27,155
359,975,350,0,216,157,24,25,157
361,959,358,0,210,160,28,29,160
363,962,365,0,201,157,33,34,157
365,992,365,0,207,161,31,30,161
367,1019,364,0,205,164,33,32,164
369,1050,359,0,210,164,31,29,164
371,1055,360,0,209,160,30,29,160
373,1064,360,0,210,160,29,28,160
375,1077,360,0,207,161,31,30,161
377,1077,341,0,202,167,36,35,167
378,1065,323,0,204,169,34,34,169
379,1033,304,0,206,177,36,34,177
380,1021,297,0,207,176,33,34,176
382,988,280,0,214,172,30,28,172
384,957,271,0,204,180,38,36,180
385,934,270,0,204,185,37,37,185
386,909,270,0,202,187,39,39,187
388,892,275,179,210,185,37,33,185
390,876,286,179,217,179,31,27,179
392,858,295,179,208,189,39,35,189
394,854,305,179,199,191,45,42,191
396,856,326,4,136,255,119,136,255
398,859,340,8,104,197,117,137,197
400,897,372,0,206,181,35,35,181
401,907,388,0,213,177,29,29,177
403,926,419,0,216,178,28,27,178
405,950,442,0,218,173,25,25,173
407,978,456,0,217,168,27,25,168
409,1005,456,0,220,166,25,23,166
411,1029,453,0,210,166,29,29,166
413,1048,440,179,212,168,31,28,168
415,1067,414,0,212,172,31,29,172
417,1087,389,0,211,173,32,30,173
419,1115,373,0,208,175,34,32,175
548,1038,295,0,195,167,39,39,167
550,1038,295,0,119,172,93,92,172
552,1099,303,0,196,176,43,41,176
554,1136,295,0,204,165,34,33,165
556,1153,290,0,204,171,36,34,171
558,1172,295,0,204,165,34,33,165
560,1147,302,0,202,173,38,36,173
562,1089,280,179,198,180,43,40,180
564,1087,284,179,201,174,41,37,174
566,1062,290,0,202,173,38,36,173
568,1058,291,0,202,173,38,36,173
570,1052,294,179,203,172,39,35,172
572,1042,298,0,200,175,38,38,175
574,1038,311,0,184,182,52,51,182
576,1031,320,0,103,189,113,113,189
578,1011,343,0,193,176,43,44,176
580,1001,378,0,185,174,48,48,174
582,1001,383,37,53,140,111,140,133
584,988,404,10,79,168,116,133,168
586,950,437,0,195,165,41,39,165
588,951,443,0,202,159,33,33,159
590,954,444,0,192,158,39,39,158
592,938,450,179,202,167,38,35,167
594,936,476,0,194,168,40,40,168
596,936,476,0,182,174,50,51,174
598,936,476,179,203,158,38,32,158
600,969,503,179,194,160,41,38,160
602,978,510,5,195,135,32,48,135
604,963,521,2,168,141,48,53,141
606,941,537,1,197,157,36,40,157
608,924,547,1,204,159,32,38,159
610,890,558,0,211,150,26,27,150
612,882,564,179,209,145,28,26,145
614,882,564,2,127,142,71,76,142
616,882,564,178,193,144,43,35,144
618,901,567,178,197,149,40,34,149
620,906,563,3,179,120,36,43,120
622,899,568,0,192,146,36,36,146
624,895,572,0,185,156,43,44,156
626,889,573,179,181,158,49,46,158
628,888,574,179,180,159,50,47,159
630,903,590,0,152,181,73,73,181
632,903,590,0,160,175,65,65,175
634,903,590,1,169,169,57,59,169
636,904,577,0,193,149,36,37,149
638,904,573,0,191,144,36,36,144
640,903,581,0,196,148,35,34,148
642,903,595,0,135,200,94,95,200
644,900,597,1,135,196,92,94,196
646,895,598,0,165,173,62,61,173
648,880,599,179,181,161,50,47,161
650,876,599,0,157,175,67,67,175
652,872,602,0,145,187,81,82,187
654,868,607,179,135,200,98,94,200
656,865,610,0,134,209,99,99,209
658,857,609,0,157,182,71,70,182
660,860,600,179,201,151,36,32,151
662,871,595,0,143,189,83,84,189
664,879,581,0,184,158,45,44,158
666,879,576,0,159,183,70,69,183
668,881,575,179,170,176,63,59,176
670,887,573,179,196,148,37,34,148
672,889,572,179,199,146,35,32,146
674,891,572,179,194,150,39,36,150
676,894,571,178,194,155,44,37,155
678,893,569,178,190,154,45,39,154
680,890,569,178,195,150,41,35,150
682,890,569,178,190,154,45,39,154
684,886,569,178,201,150,39,32,150
686,881,570,178,209,144,33,26,144
688,877,571,179,209,145,30,26,145
690,874,572,0,203,136,28,28,136
692,873,574,0,209,134,24,24,134
694,872,574,0,209,134,24,24,134
696,869,577,179,216,130,22,20,130
698,869,578,179,210,129,27,23,129
700,865,580,179,217,128,24,19,128
702,864,581,179,214,132,26,21,132
704,866,580,178,215,134,27,21,134
706,879,574,0,203,143,30,29,143
708,882,576,0,177,164,51,50,164
710,888,583,0,206,147,28,28,147
712,889,584,179,200,152,35,33,152
714,888,584,179,202,150,33,31,150
716,886,576,179,186,160,45,43,160
718,893,573,179,198,147,36,33,147
720,900,576,179,191,156,43,39,156
722,907,579,0,183,156,45,44,156
724,909,580,179,184,140,42,39,140
725,910,581,179,189,139,39,36,139
727,912,582,179,192,145,41,36,145
729,899,575,0,180,150,44,45,150
731,891,572,1,198,134,30,32,134
733,886,573,1,184,144,40,42,144
735,884,574,179,155,166,68,65,166
737,874,577,178,171,158,59,52,158
739,878,581,178,135,187,93,88,187
741,887,584,179,127,189,99,95,189
743,891,585,178,136,185,91,86,185
745,884,586,179,119,191,105,102,191
747,885,588,179,120,187,102,99,187
749,886,589,179,125,188,100,96,188
751,886,589,179,125,188,100,96,188
753,886,589,179,122,192,104,100,192
755,886,589,179,123,190,102,98,190
757,886,589,179,125,191,101,97,191
759,886,589,179,126,190,100,96,190
761,886,589,179,128,188,98,94,188
763,886,589,179,128,187,97,93,187
765,885,589,179,126,186,98,94,186
767,885,589,179,127,185,97,93,185
769,885,589,179,127,185,97,93,185
771,885,589,179,126,186,98,94,186
773,885,589,179,126,186,98,94,186
775,885,589,179,126,186,98,94,186
777,885,589,0,126,186,95,94,186
779,885,589,0,126,186,95,94,186
781,885,589,0,128,183,92,91,183
783,885,589,0,128,183,92,91,183
785,884,589,0,125,187,96,95,187
787,882,588,0,125,188,97,96,188
789,881,588,0,126,190,97,96,190
791,879,589,179,130,194,97,95,194
793,877,589,0,132,193,93,93,193
795,876,589,0,135,189,89,89,189
797,872,589,0,141,181,81,81,181
799,871,589,0,160,245,91,92,245
801,871,590,2,165,255,90,99,255
803,871,589,2,172,255,83,94,255
805,872,589,1,179,227,68,74,227
807,873,589,2,183,209,59,67,209
809,873,589,0,176,191,59,60,191
811,873,589,0,178,188,58,57,188
813,873,589,0,179,195,60,58,195
815,873,589,0,185,220,61,60,220
817,873,589,179,190,204,56,52,204
819,873,589,0,190,193,51,49,193
821,873,589,179,189,177,49,46,177
823,873,589,179,193,169,45,41,169
825,874,589,179,190,160,43,41,160
827,877,586,179,191,147,39,37,147
829,882,583,179,191,144,38,36,144
831,885,583,179,189,136,38,35,136
833,886,581,179,197,131,33,30,131
835,886,580,179,194,133,35,32,133
837,886,578,178,188,134,40,35,134
839,886,578,178,188,134,42,35,134
841,886,578,177,184,130,44,36,130
843,886,578,177,183,131,45,37,131
845,886,578,177,184,130,44,36,130
847,886,578,178,187,128,40,34,128
849,886,578,178,182,132,44,38,132
851,886,578,178,183,131,43,37,131
853,886,578,178,186,133,43,36,133
855,886,578,178,186,136,44,37,136
857,886,578,178,185,142,47,39,142
859,886,578,178,181,145,48,42,145
861,886,578,178,184,147,48,41,147
863,886,576,178,190,142,43,36,142
865,890,576,178,194,143,42,34,143
867,892,575,179,197,141,37,32,141
869,894,573,0,186,140,38,38,140
871,895,572,178,189,136,41,35,136
873,898,571,0,186,144,40,39,144
875,899,571,0,182,147,43,42,147
877,899,571,0,182,147,43,42,147
879,899,570,0,203,132,28,27,132
881,899,570,0,206,130,26,25,130
883,899,570,179,202,139,31,29,139
885,899,570,179,216,130,22,20,130
887,899,570,179,217,134,23,20,134
889,899,570,179,214,131,23,21,131
891,899,570,179,214,131,23,21,131
893,899,570,179,209,134,26,24,134
895,899,570,179,217,129,21,19,129
897,899,570,0,214,125,21,20,125
899,899,570,0,213,126,22,21,126
901,899,570,1,236,123,9,13,123
903,899,570,1,220,132,18,22,132
905,899,570,1,222,131,17,21,131
907,899,570,179,216,131,25,20,131
909,899,571,179,193,147,41,36,147
911,899,571,179,186,152,46,41,152
913,899,571,179,197,144,38,33,144
915,899,571,179,186,152,46,41,152
917,899,571,179,186,152,46,41,152
919,899,572,179,186,148,42,40,148
921,898,573,179,189,146,40,38,146
923,898,573,179,186,148,42,40,148
925,898,573,179,185,149,43,41,149
927,896,573,0,187,143,39,38,143
929,890,574,179,189,143,41,37,143
931,887,574,179,188,137,39,36,137
933,886,574,179,185,139,41,38,139
935,886,574,179,186,141,41,38,141
937,886,574,179,185,139,41,38,139
939,885,574,179,182,136,41,39,136
941,885,574,179,183,138,41,39,138
943,885,574,179,185,139,41,38,139
945,885,574,179,185,139,41,38,139
947,885,574,179,184,140,42,39,140
949,885,575,178,182,144,47,41,144
951,885,576,178,184,140,45,39,140
953,885,576,178,185,139,44,38,139
955,883,576,178,185,139,44,38,139
957,882,576,178,187,138,43,37,138
959,882,576,178,185,139,44,38,139
961,882,577,0,183,139,39,39,139
963,881,579,179,175,147,49,46,147
965,881,579,178,173,149,56,48,149
967,880,579,178,175,147,52,46,147
969,880,579,178,175,147,52,46,147
971,880,579,178,174,151,54,48,151
973,879,581,178,177,148,51,45,148
975,878,581,178,179,147,50,44,147
977,877,581,178,177,148,53,45,148
979,876,581,178,179,147,52,44,147
981,876,581,178,177,148,53,45,148
983,876,581,178,176,149,54,46,149
985,876,581,178,177,148,53,45,148
987,875,581,178,180,146,51,43,146
989,875,581,178,179,147,52,44,147
991,874,581,178,179,147,50,44,147
993,874,581,178,179,147,50,44,147
995,874,581,178,179,147,52,44,147
997,874,581,176,176,146,57,45,146
999,874,581,176,172,150,61,49,150
