frame,x,y,H,S,V,B,G,R
486,1396,566,179,212,172,33,29,172
487,1407,573,179,217,173,33,26,173
488,1432,570,179,215,170,31,27,170
505,1638,353,0,206,178,36,34,178
507,1624,356,0,206,177,36,34,177
509,1599,364,179,204,180,40,36,180
511,1582,369,179,204,180,40,36,180
513,1580,370,179,202,186,42,39,186
515,1569,371,0,203,190,40,39,190
517,1559,361,0,196,186,45,43,186
519,1512,333,33,154,96,38,96,91
569,1058,302,0,201,174,39,37,174
571,1045,311,0,199,173,40,38,173
573,1043,315,0,201,171,38,36,171
575,1038,328,0,196,172,41,40,172
577,1030,343,0,192,175,44,43,175
579,1019,383,0,197,171,40,39,171
581,1015,394,2,194,150,36,42,150
583,990,403,0,189,143,37,38,143
585,950,461,0,185,168,47,46,168
612,895,597,0,195,153,36,36,153
614,894,600,179,177,169,54,52,169
616,894,601,0,200,152,33,33,152
618,880,631,0,181,155,45,45,155
620,880,631,0,193,157,38,38,157
622,880,631,179,194,160,43,38,160
624,881,629,0,194,160,39,38,160
626,882,619,179,191,159,42,40,159
628,883,612,179,192,158,41,39,158
630,886,607,179,191,156,41,39,156
632,885,599,0,195,149,36,35,149
634,884,591,179,192,155,40,38,155
636,876,588,0,158,181,70,69,181
638,862,589,179,180,166,51,49,166
640,891,586,179,201,155,38,33,155
642,896,592,0,206,141,28,27,141
644,844,595,178,194,158,48,38,158
646,873,615,179,176,162,53,50,162
648,886,627,179,191,163,44,41,163
650,899,637,179,213,146,27,24,146
652,888,641,179,196,155,38,36,155
654,867,641,179,176,170,55,53,170
656,866,640,0,184,165,46,46,165
658,867,616,179,145,197,88,85,197
660,882,595,179,173,172,59,55,172
662,903,591,0,173,168,55,54,168
664,890,580,0,188,152,41,40,152
666,867,584,179,183,166,49,47,166
668,899,593,0,185,152,42,42,152
670,894,601,179,189,151,42,39,151
672,860,613,179,141,203,94,91,203
674,876,590,0,134,200,96,95,200
676,903,599,1,133,196,94,96,196
678,870,619,179,160,182,71,68,182
680,881,590,0,167,168,58,58,168
682,914,604,179,192,158,41,39,158
684,886,627,179,196,159,40,37,159
686,872,635,179,198,153,36,34,153
688,860,614,179,196,152,39,35,152
690,876,599,0,202,144,31,30,144
692,884,600,179,200,149,36,32,149
694,895,598,179,205,142,31,28,142
696,904,599,179,202,144,33,30,144
697,895,613,179,179,157,49,47,157
698,881,623,179,203,153,36,31,153
700,904,623,179,193,148,39,36,148
702,913,597,0,199,141,31,31,141
704,895,587,179,199,150,35,33,150
706,867,596,179,181,168,51,49,168
708,851,610,179,190,146,42,37,146
710,858,629,179,177,169,56,52,169
712,872,636,0,198,151,34,34,151
714,898,623,179,205,152,33,30,152
716,907,599,179,202,150,35,31,150
718,899,581,179,207,150,33,28,150
720,882,581,179,209,143,28,26,143
722,894,594,179,195,153,38,36,153
724,905,600,179,199,136,34,30,136
726,904,618,179,204,139,33,28,139
728,883,633,179,198,147,36,33,147
730,875,632,179,190,148,40,38,148
732,863,623,179,201,141,35,30,141
734,876,599,0,172,156,52,51,156
736,896,599,0,139,181,82,83,181
738,898,622,0,141,179,80,81,179
740,876,617,1,147,180,76,78,180
742,888,586,178,126,196,104,99,196
744,898,584,179,143,184,84,81,184
746,880,581,179,134,184,89,87,184
748,861,594,179,160,175,67,65,175
750,861,616,0,131,195,95,95,195
752,876,625,1,149,175,73,75,175
754,905,625,179,138,187,89,86,187
756,910,606,0,126,190,97,96,190
758,891,590,178,147,172,78,73,172
760,876,591,179,132,191,94,92,191
762,863,617,0,139,192,88,87,192
764,871,635,179,150,184,78,76,184
766,903,627,0,140,182,82,82,182
768,903,603,1,127,187,94,96,187
770,897,581,179,156,168,68,65,168
772,881,578,179,173,152,52,49,152
774,883,581,178,143,173,81,76,173
776,899,591,179,173,152,52,49,152
778,880,608,1,153,173,69,71,173
780,872,616,0,143,178,78,78,178
782,871,627,0,147,177,75,75,177
784,875,636,0,152,178,72,73,178
786,881,640,179,165,167,61,59,167
788,894,641,179,197,141,37,32,141
790,908,627,0,132,191,92,93,191
792,913,620,0,136,188,88,88,188
794,915,613,1,138,189,87,89,189
796,916,607,179,146,176,78,75,176
798,917,592,1,182,157,45,47,157
800,899,577,1,192,243,60,67,243
802,874,583,1,169,255,86,94,255
804,874,601,1,177,239,73,80,239
806,879,613,1,184,211,59,63,211
807,888,617,0,187,205,55,57,205
809,900,590,0,188,183,48,48,183
810,881,586,0,169,193,65,65,193
812,873,613,0,177,177,55,54,177
814,897,594,0,195,211,50,51,211
815,889,581,1,194,221,53,60,221
816,867,587,0,192,206,51,51,206
817,861,608,0,188,209,55,56,209
819,895,604,0,188,194,53,51,194
821,880,587,179,186,181,52,49,181
823,876,613,179,197,170,42,39,170
825,887,622,179,199,158,38,35,158
827,912,604,179,192,155,42,38,155
829,895,585,179,196,143,35,33,143
831,863,590,179,204,139,33,28,139
833,879,593,178,182,136,44,39,136
835,899,583,0,193,131,32,33,131
837,901,585,179,192,129,34,32,129
839,872,582,178,193,128,38,31,128
841,870,582,179,192,125,35,31,125
843,899,589,178,190,126,38,32,126
845,902,591,177,195,127,39,30,127
847,843,594,6,57,135,105,111,135
849,884,602,177,186,133,45,36,133
851,881,603,177,185,134,46,37,134
853,879,607,177,186,133,47,36,133
855,904,614,177,177,140,54,43,140
857,875,617,178,182,144,49,41,144
859,880,617,177,185,146,49,40,146
861,903,621,176,181,149,56,43,149
863,869,624,177,185,146,51,40,146
865,872,627,177,183,148,53,42,148
867,898,632,177,179,147,54,44,147
869,887,632,177,185,146,49,40,146
871,872,632,178,184,147,48,41,147
873,899,630,177,183,148,51,42,148
875,877,615,179,195,145,39,34,145
877,894,604,177,180,150,53,44,150
878,903,604,179,194,146,40,35,146
879,897,597,178,192,145,44,36,145
880,877,589,179,195,141,35,33,141
882,865,586,179,195,145,39,34,145
884,895,591,179,198,143,37,32,143
886,885,598,178,199,147,38,32,147
