frame,x,y,H,S,V,B,G,R
686,886,588,179,198,151,38,34,151
687,886,588,179,200,149,36,32,149
688,886,588,179,200,149,36,32,149
689,886,588,179,199,146,35,32,146
690,886,588,179,198,147,36,33,147
691,885,588,179,198,147,36,33,147
692,877,588,0,198,144,33,32,144
693,876,588,179,198,144,35,32,144
694,879,588,179,198,144,35,32,144
695,883,587,179,198,144,35,32,144
696,890,586,0,164,165,59,60,165
697,894,585,179,161,171,65,63,171
698,898,585,179,173,165,56,53,165
699,905,588,179,198,144,35,32,144
700,907,590,179,203,141,32,29,141
701,908,592,179,202,144,33,30,144
702,903,595,179,196,146,37,34,146
703,893,595,179,194,150,39,36,150
704,887,595,179,190,157,42,40,157
705,883,595,179,197,154,39,35,154
706,878,595,179,208,146,31,27,146
707,872,596,179,201,151,36,32,151
708,867,599,179,192,162,45,40,162
709,867,599,179,190,164,47,42,164
710,876,600,179,201,155,38,33,155
711,888,603,179,205,152,33,30,152
712,894,604,179,202,154,35,32,154
713,899,605,179,203,153,34,31,153
714,899,606,179,205,152,33,30,152
715,901,607,179,205,152,33,30,152
716,901,609,179,208,151,31,28,151
717,893,610,179,202,154,35,32,154
718,881,613,179,201,155,36,33,155
719,876,614,179,201,155,36,33,155
720,873,618,179,201,155,36,33,155
721,873,622,179,198,153,38,34,153
722,876,621,179,199,150,37,33,150
723,886,618,179,204,139,33,28,139
724,891,613,179,200,139,35,30,139
725,892,611,179,200,139,35,30,139
726,893,605,0,180,149,45,44,149
727,892,597,0,158,170,66,65,170
728,888,595,0,144,186,82,81,186
729,880,592,0,188,144,38,39,144
730,876,592,179,196,143,35,33,143
731,876,592,0,194,142,34,34,142
732,884,586,1,124,192,99,101,192
733,890,584,179,131,179,91,87,179
734,896,584,179,144,172,77,75,172
735,903,585,179,134,196,96,93,196
736,908,586,179,173,156,54,50,156
737,908,586,179,179,151,49,45,151
738,908,586,179,169,152,54,51,152
739,900,586,179,138,186,88,85,186
740,885,587,179,116,202,114,110,202
741,877,589,178,111,203,120,115,203
742,868,591,0,136,187,87,87,187
743,868,592,0,135,189,89,89,189
744,868,592,0,136,188,88,88,188
745,869,592,0,136,187,87,87,187
746,872,591,0,131,189,92,93,189
747,876,591,0,121,198,105,104,198
748,882,591,179,117,200,112,108,200
749,889,591,178,133,186,94,89,186
750,892,591,178,157,158,66,61,158
751,899,592,179,166,149,54,52,149
752,903,593,179,134,189,92,90,189
753,904,593,179,139,181,84,82,181
754,904,593,179,139,181,84,82,181
755,898,594,0,180,133,40,39,133
756,892,594,0,166,149,52,53,149
757,886,592,179,128,194,99,97,194
758,880,592,178,126,200,106,101,200
759,875,593,0,136,186,87,88,186
760,867,595,1,142,183,81,83,183
761,865,595,0,141,185,83,83,185
762,863,596,0,141,185,83,83,185
763,862,597,0,141,184,82,82,184
764,862,597,0,141,184,82,82,184
765,863,598,0,143,182,80,80,182
766,872,600,0,146,175,75,75,175
767,879,602,0,146,178,76,76,178
768,886,603,1,151,172,70,72,172
769,890,603,0,148,172,72,72,172
770,898,604,1,129,188,93,95,188
771,903,604,1,127,191,96,98,191
772,909,604,1,131,185,90,92,185
773,910,604,1,130,183,90,92,183
774,910,604,1,130,183,90,92,183
775,910,604,1,130,183,90,92,183
776,904,605,1,126,192,97,99,192
777,895,605,0,137,186,86,86,186
778,886,605,1,156,167,65,67,167
779,877,605,179,147,175,77,74,175
780,872,606,0,146,175,75,75,175
781,865,606,179,184,147,45,41,147
782,862,607,179,189,146,40,38,146
783,862,607,179,190,145,39,37,145
784,868,608,0,135,189,89,89,189
785,874,609,0,145,176,76,76,176
786,883,609,0,155,168,66,66,168
787,888,609,0,157,166,64,64,166
788,893,609,0,157,166,64,64,166
789,898,609,179,135,183,88,86,183
790,904,609,0,128,188,95,94,188
791,906,610,0,130,181,90,89,181
792,907,610,0,129,182,91,90,182
793,907,611,0,130,181,90,89,181
794,904,612,179,136,182,87,85,182
795,897,613,0,153,167,67,67,167
796,886,613,0,162,167,61,62,167
797,882,613,0,159,173,65,65,173
798,875,613,1,147,180,76,78,180
799,869,613,1,157,237,91,94,237
800,867,613,2,167,255,88,97,255
801,867,613,2,159,255,96,106,255
802,867,613,2,162,255,93,102,255
803,869,616,2,171,253,83,92,253
804,876,618,1,179,233,69,77,233
805,882,618,1,184,225,63,68,225
806,890,618,1,186,211,57,60,211
807,896,619,0,180,207,61,61,207
808,899,619,0,182,198,57,59,198
809,901,619,1,179,192,57,61,192
810,901,619,0,177,189,59,58,189
811,901,619,0,176,185,59,57,185
812,897,619,0,182,172,50,49,172
813,890,619,0,187,191,52,51,191
814,886,619,1,192,223,55,58,223
815,883,618,1,192,220,54,58,220
816,880,616,0,192,208,51,51,208
817,877,614,0,191,198,50,50,198
818,876,612,0,192,191,49,47,191
819,873,609,0,192,191,49,47,191
820,873,608,179,195,187,48,44,187
821,876,604,179,192,179,48,44,179
822,879,602,179,191,176,47,44,176
823,885,599,179,190,172,50,44,172
824,890,598,179,192,163,45,40,163
825,895,598,179,198,157,40,35,157
826,899,600,178,189,159,48,41,159
827,902,604,178,189,155,46,40,155
828,904,610,178,191,151,44,38,151
829,900,614,178,196,147,43,34,147
830,887,623,179,200,139,35,30,139
831,881,623,179,199,136,34,30,136
832,873,619,179,194,133,35,32,133
833,867,613,178,189,136,41,35,136
834,864,606,178,199,127,33,28,127
835,864,600,178,202,125,31,26,125
836,867,595,178,187,132,40,35,132
837,872,592,177,184,130,44,36,130
838,877,590,177,180,133,47,39,133
839,881,589,177,182,132,48,38,132
840,886,588,177,179,131,49,39,131
841,889,588,177,184,130,44,36,130
842,893,588,177,189,124,40,32,124
843,895,589,177,195,123,37,29,123
844,897,591,178,198,121,33,27,121
845,898,595,178,193,128,38,31,128
846,899,599,177,175,141,53,44,141
847,899,604,177,178,135,49,41,135
848,895,604,177,181,137,51,40,137
849,890,604,177,183,135,47,38,135
850,890,604,177,184,137,47,38,137
930,886,602,177,176,149,56,46,149
931,886,602,177,176,149,56,46,149
932,896,599,178,172,153,58,50,153
933,899,599,177,171,154,61,51,154
934,902,599,177,173,152,59,49,152
935,897,597,177,181,145,52,42,145
936,890,594,178,180,146,51,43,146
937,881,593,176,168,153,64,52,153
938,876,593,176,172,150,61,49,150
939,872,598,177,181,145,54,42,145
940,869,605,177,175,147,56,46,147
941,869,614,177,174,151,58,48,151
942,873,617,177,179,147,54,44,147
943,880,618,177,181,149,52,43,149
944,887,620,177,183,148,51,42,148
945,892,618,177,183,148,51,42,148
946,895,613,177,184,147,50,41,147
947,897,607,177,172,153,60,50,153
948,897,605,177,172,153,60,50,153
